cluster,gene,rank,score,method,direction
clusterFour,POMT1,275,0.09703890010561274,rawMAE,min
clusterFour,DCAF11,276,0.09705384648222148,rawMAE,min
clusterFour,PITPNA-AS1,277,0.0970714188975175,rawMAE,min
clusterFour,ORC3,278,0.09717260075982226,rawMAE,min
clusterFour,PATZ1,279,0.09732086122404739,rawMAE,min
clusterFour,CHMP1A,280,0.09746021270073699,rawMAE,min
clusterFour,SYNJ2,281,0.09749505345682025,rawMAE,min
clusterFour,UBASH3B,282,0.0975298305411205,rawMAE,min
clusterFour,INSIG2,283,0.09753838588257925,rawMAE,min
clusterFour,EOGT,284,0.09757703717610074,rawMAE,min
clusterFour,CBR3,285,0.09761972501786674,rawMAE,min
clusterFour,CCNG2,286,0.09769269991285824,rawMAE,min
clusterFour,FKBP2,287,0.09780496404671174,rawMAE,min
clusterFour,CHRM3-AS2,288,0.09781855602563999,rawMAE,min
clusterFour,RPL26L1,289,0.09791221351210214,rawMAE,min
clusterFour,ANXA4,290,0.097933951822329,rawMAE,min
clusterFour,HIST1H4B,291,0.09797449684226374,rawMAE,min
clusterFour,GNB5,292,0.09797728278380699,rawMAE,min
clusterFour,HSPBAP1,293,0.09798204818381824,rawMAE,min
clusterFour,SWT1,294,0.09805408387545873,rawMAE,min
clusterFour,TAB1,295,0.09807697533325149,rawMAE,min
clusterFour,ZNF430,296,0.09809333700485148,rawMAE,min
clusterFour,AP003717.4,297,0.09813943092543824,rawMAE,min
clusterFour,AC087623.2,298,0.09813974575122349,rawMAE,min
clusterFour,PDCD4-AS1,299,0.09818362369862324,rawMAE,min
clusterFour,GTPBP3,300,0.09819042200486512,rawMAE,min
clusterFour,PACSIN2,301,0.098293233375791,rawMAE,min
clusterFour,TXK,302,0.09831945401604,rawMAE,min
clusterFour,MZF1,303,0.09834510641535475,rawMAE,min
clusterFour,TOB2,304,0.09835409797794749,rawMAE,min
clusterFour,ZNF181,305,0.098382935271012,rawMAE,min
clusterFour,MAK16,306,0.09855610687829099,rawMAE,min
